time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,label
1.72986E+12,2:21:23 PM,1759609.891,220181.5938,7016.875,16872415232,4687888384,72.2,anomaly
1.72986E+12,2:21:24 PM,1759616.75,220182.4219,7016.921875,16872415232,4674019328,72.3,anomaly
1.72986E+12,2:21:25 PM,1759622.609,220183.9688,7017.046875,16872415232,4656119808,72.4,anomaly
1.72986E+12,2:21:26 PM,1759627.219,220186.6563,7017.078125,16872415232,4637716480,72.5,anomaly
1.72986E+12,2:21:27 PM,1759634.594,220187.1094,7017.09375,16872415232,4690391040,72.2,anomaly
1.72986E+12,2:21:28 PM,1759642.078,220187.5156,7017.171875,16872415232,4672614400,72.3,anomaly
1.72986E+12,2:21:29 PM,1759648.188,220188.8906,7017.203125,16872415232,4666863616,72.3,anomaly
1.72986E+12,2:21:30 PM,1759653.219,220191.2031,7017.265625,16872415232,5566910464,67,anomaly
1.72986E+12,2:21:31 PM,1759660.266,220191.9844,7017.34375,16872415232,5572919296,67,anomaly
1.72986E+12,2:21:32 PM,1759666.563,220193.2031,7017.421875,16872415232,5561409536,67,anomaly
1.72986E+12,2:21:33 PM,1759672.875,220193.9688,7017.46875,16872415232,6980075520,58.6,normal
1.72986E+12,2:21:34 PM,1759680.266,220194.2656,7017.5,16872415232,6986895360,58.6,normal
1.72986E+12,2:21:35 PM,1759687.75,220194.5625,7017.53125,16872415232,6990999552,58.6,normal
1.72986E+12,2:21:36 PM,1759695.734,220194.6563,7017.53125,16872415232,6997979136,58.5,normal
1.72986E+12,2:21:37 PM,1759703.641,220194.7344,7017.53125,16872415232,6998487040,58.5,normal
1.72986E+12,2:21:38 PM,1759711.672,220194.8125,7017.53125,16872415232,6991978496,58.6,normal
1.72986E+12,2:21:39 PM,1759719.641,220194.8906,7017.53125,16872415232,7001686016,58.5,normal
1.72986E+12,2:21:40 PM,1759727.313,220195.0313,7017.59375,16872415232,7001944064,58.5,normal
1.72986E+12,2:21:41 PM,1759735.25,220195.125,7017.609375,16872415232,7004266496,58.5,normal
1.72986E+12,2:21:42 PM,1759743.063,220195.3281,7017.625,16872415232,7004962816,58.5,normal
1.72986E+12,2:21:43 PM,1759749.875,220196.4219,7017.625,16872415232,7000391680,58.5,normal
1.72986E+12,2:21:44 PM,1759757.656,220196.7031,7017.625,16872415232,7000625152,58.5,normal
1.72986E+12,2:21:45 PM,1759764.516,220197.875,7017.625,16872415232,7000862720,58.5,normal
1.72986E+12,2:21:46 PM,1759772.219,220198.2188,7017.640625,16872415232,7001059328,58.5,normal
